station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
,Monte-Carlo,1995-05-28,Spring,17.4,13.9,19.8,0.0,,,,,,
,Montreal,1995-06-11,Summer,17.1,10.4,21.9,0.5,0.0,162.3,16.3,,1020.5,
,Magny Cours,1995-07-02,Summer,20.9,17.2,26.6,6.5,,,9.1,,1008.0,
,Hockenheim,1995-07-30,Summer,23.7,16.1,30.1,0.0,0.0,70.1,9.0,33.9,1017.3,810.0
12843,Budapest,1995-08-13,Summer,21.4,12.9,28.0,0.0,,,,,,
,Spa,1995-08-27,Summer,16.1,15.0,19.2,4.8,,,,,,
,Monza,1995-09-10,Autumn,17.1,7.9,15.9,0.9,,,,,,
,Estoril,1995-09-24,Autumn,19.7,13.0,23.2,0.0,,42.5,14.0,,1031.2,
,Nürburg,1995-10-01,Autumn,9.2,3.4,12.1,2.2,0.0,216.0,11.7,30.7,1011.6,155.0
,Okayama,1995-10-22,Autumn,18.1,13.5,22.9,2.0,,8.0,16.3,,1017.2,
,Suzuka,1995-10-29,Autumn,17.4,12.8,20.4,1.6,,350.0,12.2,,1019.5,
95678,Adelaide,1995-11-12,Spring,,5.4,19.3,,,,,,,
83780,São Paulo,1994-03-27,Autumn,19.4,,25.1,11.0,,,,,,
,Okayama,1994-04-17,Spring,16.0,15.0,22.1,0.2,,,,,,
,Imola,1994-05-01,Spring,15.1,6.7,16.1,0.0,10.0,,,,,
,Monte-Carlo,1994-05-15,Spring,16.3,12.6,19.3,0.0,,,,,,
,Montmeló,1994-05-29,Spring,21.1,15.1,25.9,0.1,,,,,,
,Montreal,1994-06-12,Summer,14.8,11.6,18.6,1.2,0.0,,8.1,,1008.3,
,Magny Cours,1994-07-03,Summer,23.9,17.0,30.6,0.1,,,,,,
,Hockenheim,1994-07-31,Summer,26.0,18.6,33.2,0.1,0.0,115.0,7.2,35.0,1010.4,672.0
12843,Budapest,1994-08-14,Summer,19.7,16.3,23.3,2.0,,,,,,
,Spa,1994-08-28,Summer,15.1,11.8,19.3,0.0,,,,,,
,Monza,1994-09-11,Autumn,19.6,11.2,20.3,0.4,,,3.6,,,
,Estoril,1994-09-25,Autumn,16.8,11.4,18.6,4.2,,,10.3,,1016.2,
,Jerez de la Frontera,1994-10-16,Autumn,19.7,15.8,21.9,3.4,,,,,,
,Suzuka,1994-11-06,Autumn,16.4,13.4,19.6,9.3,,342.0,11.1,,1020.5,
95678,Adelaide,1994-11-13,Spring,,4.1,10.7,,,,,,,
,Midrand,1993-03-14,Spring,22.3,16.6,30.0,2.2,,,,,,
83780,São Paulo,1993-03-28,Autumn,22.3,19.0,28.0,2.3,,,3.7,,,
,Imola,1993-04-25,Spring,12.1,5.4,9.8,13.4,,,,,,
,Montmeló,1993-05-09,Spring,18.2,11.8,23.3,2.9,,,11.4,,1013.8,
,Monte-Carlo,1993-05-23,Spring,16.9,12.7,21.3,0.0,,,,,,
,Montreal,1993-06-13,Summer,12.8,7.8,18.6,2.3,0.0,320.0,16.7,,1016.8,
,Magny Cours,1993-07-04,Summer,22.7,15.3,29.2,0.0,,,4.5,,1023.0,
,Hockenheim,1993-07-25,Summer,15.6,12.9,21.2,4.7,0.0,236.9,17.0,64.4,1003.9,319.0
12843,Budapest,1993-08-15,Summer,26.1,18.2,32.5,0.0,,,,,,
,Spa,1993-08-29,Summer,13.4,6.9,19.2,0.0,,,,,,
,Monza,1993-09-12,Autumn,17.2,8.8,17.0,2.7,,,,,,
,Estoril,1993-09-26,Autumn,15.0,8.2,19.4,0.1,,,14.9,,1028.2,
,Suzuka,1993-10-24,Autumn,14.0,10.6,18.5,8.4,,,,,,
95678,Adelaide,1993-11-07,Spring,,6.6,16.4,,,,,,,
,Midrand,1992-03-01,Spring,23.3,15.9,32.1,2.4,,,,,,
,Mexico City,1992-03-22,Spring,23.0,13.1,30.1,0.0,,,,,,
83780,São Paulo,1992-04-05,Autumn,,,,0.0,,,,,,
,Montmeló,1992-05-03,Spring,14.6,9.9,16.7,1.8,,183.0,26.4,,1014.3,
,Imola,1992-05-17,Spring,17.4,12.6,21.5,13.5,40.5,209.0,9.7,,,
,Monte-Carlo,1992-05-31,Spring,19.9,,,2.0,,,,,,
,Montreal,1992-06-14,Summer,17.8,12.6,21.4,3.6,0.0,173.0,21.7,,1013.4,
,Magny Cours,1992-07-05,Summer,16.2,13.7,20.2,5.3,,308.8,16.7,,,
,Hockenheim,1992-07-26,Summer,20.6,14.6,26.0,0.0,0.0,238.1,8.7,33.9,1019.4,429.0
12843,Budapest,1992-08-16,Summer,21.5,15.5,27.3,,,,,,,
,Spa,1992-08-30,Summer,13.8,11.6,18.3,12.6,,,,,,
,Monza,1992-09-13,Autumn,19.3,12.3,21.9,0.0,,,6.6,,1018.2,
,Estoril,1992-09-27,Autumn,17.6,10.2,17.7,0.3,,,,,,
,Suzuka,1992-10-25,Autumn,15.1,16.5,19.2,2.5,,346.0,8.9,,1005.0,
95678,Adelaide,1992-11-08,Spring,,15.5,,,,,,,,
72278,Phoenix,1991-03-10,Spring,20.6,15.0,25.6,0.0,0.0,,8.6,18.4,1011.2,556.0
83780,São Paulo,1991-03-24,Autumn,20.3,,23.0,1.4,,,,,,
,Imola,1991-04-28,Spring,8.0,4.2,11.4,1.1,803.7,304.0,8.9,,1015.1,
,Monte-Carlo,1991-05-12,Spring,14.6,10.0,20.2,0.0,,,12.2,,,
,Montreal,1991-06-02,Summer,15.3,10.6,21.1,0.0,0.0,,11.8,,1009.4,
,Mexico City,1991-06-16,Summer,24.0,13.7,29.4,1.8,,,,,,
,Magny Cours,1991-07-07,Summer,21.6,15.0,27.5,1.5,,252.0,10.3,,,
,Hockenheim,1991-07-28,Summer,20.3,12.3,25.8,0.0,0.0,52.5,9.3,32.1,1018.6,776.0
12843,Budapest,1991-08-11,Summer,24.8,17.3,29.1,0.0,,,,,,
,Spa,1991-08-25,Summer,17.8,11.9,23.8,0.0,,,,,,
,Monza,1991-09-08,Autumn,18.8,14.8,22.4,0.1,,201.0,8.4,,,
,Estoril,1991-09-22,Autumn,20.7,15.8,24.8,0.0,,27.0,25.0,,1025.5,
,Montmeló,1991-09-29,Autumn,16.6,13.2,19.5,11.8,,,11.0,,,
,Suzuka,1991-10-20,Autumn,14.5,14.1,19.4,0.0,,51.0,11.5,,1015.3,
95678,Adelaide,1991-11-03,Spring,,7.0,16.0,,,,,,,
72278,Phoenix,1990-03-11,Spring,12.7,9.4,17.8,2.5,0.0,194.0,13.3,40.7,1012.1,398.0
83780,São Paulo,1990-03-25,Autumn,23.3,,,0.0,,,,,,
,Imola,1990-05-13,Spring,14.3,9.3,17.6,3.0,,,,,,
,Monte-Carlo,1990-05-27,Spring,17.8,14.9,21.8,7.1,,,,,,
,Montreal,1990-06-10,Summer,15.1,9.5,20.0,0.1,0.0,112.5,16.0,,1011.6,
,Mexico City,1990-06-24,Summer,20.9,18.8,32.7,2.9,,,,,,
,Le Castellet,1990-07-08,Summer,19.8,15.4,24.6,0.8,,332.0,26.4,,,
,Hockenheim,1990-07-29,Summer,20.5,16.9,27.2,1.9,0.0,274.1,8.6,34.0,1018.6,225.0
12843,Budapest,1990-08-12,Summer,21.1,13.1,28.7,0.0,,,,,,
,Spa,1990-08-26,Summer,19.8,13.9,25.8,0.0,,,,,,
,Monza,1990-09-09,Autumn,18.2,13.6,22.0,0.0,,,8.2,,,
,Estoril,1990-09-23,Autumn,18.2,14.7,20.7,1.2,,50.0,13.2,,1021.3,
,Jerez de la Frontera,1990-09-30,Autumn,22.3,18.7,26.3,0.6,,,,,,
,Suzuka,1990-10-21,Autumn,17.6,13.1,23.2,0.0,,,,,,
95678,Adelaide,1990-11-04,Spring,,19.0,25.0,,,,,,,
,Sakhir,2010-03-14,Spring,26.7,20.0,35.4,,,,,,,
95866,Melbourne,2010-03-28,Autumn,,16.7,26.4,0.0,,,,,,
,Kuala Lumpur,2010-04-04,Spring,28.0,24.4,32.6,12.1,,141.0,6.9,,,
58362,Shanghai,2010-04-18,Spring,17.3,12.2,22.3,1.2,,,,,,
,Montmeló,2010-05-09,Spring,17.9,13.1,22.7,2.6,,,10.6,,1003.2,
,Monte-Carlo,2010-05-16,Spring,17.2,14.2,19.6,0.0,,301.0,13.9,,1007.8,
,Istanbul,2010-05-30,Spring,22.9,13.8,28.1,0.2,,249.3,8.1,,1010.2,
,Montreal,2010-06-13,Summer,15.8,11.5,20.7,0.2,0.0,120.5,12.4,,1016.6,
08285,Valencia,2010-06-27,Summer,,18.6,28.4,0.0,,,,,,
80472,Valencia,2010-06-27,Summer,27.4,,,,,,,,,
,Hockenheim,2010-07-25,Summer,16.4,10.6,22.0,1.1,0.0,281.5,14.0,39.2,1014.1,545.5
12843,Budapest,2010-08-01,Summer,23.8,17.5,29.7,0.0,,302.0,7.1,,1015.8,
,Spa,2010-08-29,Summer,13.2,,17.8,6.1,,,,,,
,Monza,2010-09-12,Autumn,18.3,14.4,23.0,1.2,,153.0,7.6,,1016.9,
,Marina Bay,2010-09-26,Autumn,28.7,24.7,32.5,7.9,,,6.3,,,
,Suzuka,2010-10-10,Autumn,20.9,16.9,26.7,24.3,,292.0,5.5,,1006.7,
83780,São Paulo,2010-11-07,Spring,19.2,14.9,25.1,7.9,,,8.7,,,
41217,Abu Dhabi,2010-11-14,Autumn,26.2,21.7,30.8,,,,,,,
83746,Rio de Janeiro,1989-03-26,Autumn,28.8,23.0,38.0,,,,6.7,,,
,Imola,1989-04-23,Spring,8.5,2.4,12.3,0.5,870.3,,,,,
,Monte-Carlo,1989-05-07,Spring,17.6,15.0,20.3,0.0,,,,,,
,Mexico City,1989-05-28,Spring,19.0,14.7,29.2,6.9,,,,,,
72278,Phoenix,1989-06-04,Summer,31.0,22.8,38.3,0.0,0.0,257.0,14.8,37.1,1006.1,855.0
,Montreal,1989-06-18,Summer,16.5,11.8,21.7,4.3,0.0,228.3,16.8,,1015.5,
,Le Castellet,1989-07-09,Summer,19.9,16.7,24.0,2.4,,266.0,13.5,,,
,Hockenheim,1989-07-30,Summer,18.4,14.3,25.2,10.4,0.0,180.3,13.5,59.0,1007.8,172.0
12843,Budapest,1989-08-13,Summer,21.0,17.3,25.0,,,,,,,
,Spa,1989-08-27,Summer,14.1,12.9,16.3,5.0,,,,,,
,Monza,1989-09-10,Autumn,16.8,12.6,20.1,0.3,,,8.3,,,
,Estoril,1989-09-24,Autumn,18.8,10.5,25.3,0.0,,16.0,20.9,,1021.0,
,Jerez de la Frontera,1989-10-01,Autumn,18.5,12.4,24.6,0.4,,,10.3,,,
,Suzuka,1989-10-22,Autumn,16.4,10.6,20.5,2.7,,,,,,
,Adelaide,1989-11-05,Autumn,19.6,17.2,27.6,4.5,,,,,,
83746,Rio de Janeiro,1988-04-03,Autumn,23.8,22.0,28.0,,,,3.8,,,
,Imola,1988-05-01,Spring,11.6,7.1,13.9,4.6,536.7,,,,,
,Monte-Carlo,1988-05-15,Spring,18.1,,20.1,0.3,,,,,,
,Mexico City,1988-05-29,Spring,24.5,15.6,31.8,6.6,,,,,,
,Montreal,1988-06-12,Summer,15.5,10.0,20.8,0.3,0.0,201.0,12.2,,1015.0,
,Le Castellet,1988-07-03,Summer,16.2,12.5,20.2,5.9,,,,,,
,Hockenheim,1988-07-24,Summer,19.2,16.3,26.0,6.1,0.0,225.4,12.6,60.4,1012.9,239.5
12843,Budapest,1988-08-07,Summer,19.6,11.4,,0.0,,,,,,
,Spa,1988-08-28,Summer,19.8,16.8,26.6,4.8,,,,,,
,Monza,1988-09-11,Autumn,19.0,13.7,22.2,0.0,,,11.0,,,
,Estoril,1988-09-25,Autumn,21.0,12.8,27.2,0.0,,152.0,15.2,,1023.0,
,Jerez de la Frontera,1988-10-02,Autumn,18.8,11.6,24.8,2.4,,,,,,
,Suzuka,1988-10-30,Autumn,11.7,7.8,15.4,1.1,,,,,,
,Adelaide,1988-11-13,Autumn,20.2,18.3,31.3,0.0,,,,,,
83746,Rio de Janeiro,1987-04-12,Autumn,29.2,,,,,,,,,
,Imola,1987-05-03,Spring,13.5,8.1,16.1,6.3,595.5,,,,,
,Spa,1987-05-17,Spring,9.3,3.3,14.5,3.7,,,,,,
,Monte-Carlo,1987-05-31,Spring,18.8,17.0,21.0,0.0,,70.0,13.1,,,
,Le Castellet,1987-07-05,Summer,23.3,16.5,29.2,0.6,,,7.5,,,
,Hockenheim,1987-07-26,Summer,11.9,8.7,15.9,2.6,0.0,263.3,18.9,49.5,1013.2,488.5
12843,Budapest,1987-08-09,Summer,18.4,9.6,25.5,0.0,,,,,,
,Spielberg,1987-08-16,Summer,17.6,12.9,22.8,0.2,0.0,,4.4,,,
,Monza,1987-09-06,Autumn,18.7,14.0,21.5,4.4,,,,,,
,Estoril,1987-09-20,Autumn,22.7,17.0,27.9,4.1,,246.0,19.5,,,
,Jerez de la Frontera,1987-09-27,Autumn,20.2,16.2,24.4,0.8,,56.0,10.2,,,
,Mexico City,1987-10-18,Autumn,18.5,7.7,26.8,0.0,,,,,,
,Suzuka,1987-11-01,Autumn,16.3,11.3,17.5,0.5,,,,,,
,Adelaide,1987-11-15,Autumn,20.2,19.5,24.9,0.0,,,,,,
83746,Rio de Janeiro,1986-03-23,Autumn,26.8,22.0,35.0,,,,10.5,,,
,Jerez de la Frontera,1986-04-13,Spring,9.9,3.3,15.4,0.0,,,,,,
,Imola,1986-04-27,Spring,11.6,7.9,12.5,5.9,1169.5,,14.2,,,
,Monte-Carlo,1986-05-11,Spring,16.7,,19.0,0.0,,,,,,
,Spa,1986-05-25,Spring,15.1,7.7,21.7,0.0,,,,,,
,Montreal,1986-06-15,Summer,17.2,11.0,21.1,1.3,0.0,,,,,
,Le Castellet,1986-07-06,Summer,18.5,16.0,22.7,11.0,,276.0,21.7,,,
,Hockenheim,1986-07-27,Summer,19.6,14.6,24.7,0.0,0.0,239.3,6.3,29.2,1018.8,429.5
12843,Budapest,1986-08-10,Summer,23.7,16.8,30.3,0.0,,,,,,
,Spielberg,1986-08-17,Summer,21.8,16.0,28.9,4.7,0.0,,6.2,,,
,Monza,1986-09-07,Autumn,18.7,12.9,22.4,0.0,,,4.3,,,
,Estoril,1986-09-21,Autumn,22.7,17.0,26.0,0.7,,,,,,
,Mexico City,1986-10-12,Autumn,19.4,15.9,27.6,2.4,,,,,,
,Adelaide,1986-10-26,Autumn,18.3,15.2,22.0,0.0,,279.0,16.2,,,
83746,Rio de Janeiro,1985-04-07,Autumn,27.3,23.0,33.0,,,,8.3,,,
,Estoril,1985-04-21,Spring,12.4,8.4,14.7,4.8,,,,,,
,Imola,1985-05-05,Spring,11.3,6.6,13.0,1.6,1249.5,,12.3,,,
,Monte-Carlo,1985-05-19,Spring,15.7,13.7,18.8,,,,,,,
,Montreal,1985-06-16,Summer,15.8,9.4,20.1,2.4,0.0,254.5,20.8,,1015.9,
,Le Castellet,1985-07-07,Summer,19.5,12.4,25.7,0.0,,235.3,9.5,,,
,Nürburg,1985-08-04,Summer,15.4,10.7,19.7,1.5,0.0,233.7,14.3,44.1,1010.6,409.1
,Spielberg,1985-08-18,Summer,15.6,12.0,20.9,6.3,0.0,,6.4,,,
,Zandvoort,1985-08-25,Summer,14.0,11.0,18.3,2.2,0.0,211.6,22.8,,1007.8,612.0
,Monza,1985-09-08,Autumn,19.0,13.3,22.2,0.0,,,4.8,,,
,Spa,1985-09-15,Autumn,13.6,8.9,17.0,0.3,,,,,,
,Midrand,1985-10-19,Autumn,21.4,12.5,27.5,0.0,,,,,,
,Adelaide,1985-11-03,Autumn,18.5,17.4,24.4,0.0,,,,,,
83746,Rio de Janeiro,1984-03-25,Autumn,25.8,21.0,32.0,,,,6.0,,,
,Midrand,1984-04-07,Spring,21.3,14.4,28.4,4.6,,,,,,
,Heusden-Zolder,1984-04-29,Spring,9.1,2.9,13.8,0.0,,,,,,
,Imola,1984-05-06,Spring,13.4,8.5,15.9,0.4,1020.3,,9.6,,,
07280,Dijon,1984-05-20,Spring,12.0,3.6,,0.0,,,,,,
,Monte-Carlo,1984-06-03,Summer,15.1,,18.2,,,,,,,
,Montreal,1984-06-17,Summer,15.3,9.5,20.5,0.0,0.0,,17.4,,1022.2,
,Hockenheim,1984-08-05,Summer,18.2,16.0,22.3,2.9,0.0,208.2,9.4,37.7,1017.2,217.1
,Spielberg,1984-08-19,Summer,16.8,12.2,22.0,0.0,0.0,,4.7,,,
,Zandvoort,1984-08-26,Summer,17.4,12.7,21.1,0.0,0.0,325.0,9.8,,1015.8,30.0
,Monza,1984-09-09,Autumn,16.4,11.4,19.0,0.9,,337.0,14.0,,,
,Nürburg,1984-10-07,Autumn,10.2,7.4,14.1,2.8,0.0,250.4,19.5,48.7,1020.4,292.9
,Estoril,1984-10-21,Autumn,16.2,9.2,20.4,0.0,,189.0,20.2,,,
83746,Rio de Janeiro,1983-03-13,Autumn,27.1,23.0,32.0,,,,10.6,,,
,Le Castellet,1983-04-17,Spring,12.7,9.0,16.1,3.3,,,8.8,,,
,Imola,1983-05-01,Spring,14.6,8.3,15.1,3.9,340.0,,15.6,,,
,Monte-Carlo,1983-05-15,Spring,17.7,16.0,20.8,6.1,,37.0,16.1,,,
,Spa,1983-05-22,Spring,10.2,5.9,14.9,0.2,,,,,,
,Montreal,1983-06-12,Summer,12.8,10.4,18.4,2.5,0.0,285.5,19.6,,1011.0,
,Hockenheim,1983-08-07,Summer,18.0,12.5,23.4,0.0,0.0,89.6,6.2,25.7,1021.8,457.6
,Spielberg,1983-08-14,Summer,16.3,10.8,22.0,0.0,0.0,,6.8,,,
,Zandvoort,1983-08-28,Summer,16.5,13.2,19.7,0.0,0.0,22.5,15.4,,1023.6,432.0
,Monza,1983-09-11,Autumn,19.9,13.6,21.3,3.1,,166.0,25.9,,,
,Midrand,1983-10-15,Autumn,21.9,14.0,28.0,1.9,,,,,,
,Midrand,1982-01-23,Winter,23.6,15.8,29.0,0.0,,,,,,
83746,Rio de Janeiro,1982-03-21,Autumn,26.8,,,,,,,,,
,Imola,1982-04-25,Spring,7.1,0.9,8.4,2.1,436.7,,,,,
,Heusden-Zolder,1982-05-09,Spring,10.0,6.1,14.2,0.0,,,,,,
,Monte-Carlo,1982-05-23,Spring,18.9,15.9,21.7,2.0,,,,,,
,Montreal,1982-06-13,Summer,15.4,9.8,19.6,0.2,0.0,114.0,13.8,,1019.9,
,Zandvoort,1982-07-03,Summer,16.5,13.5,20.2,3.0,0.0,285.8,17.4,,1007.2,42.0
,Le Castellet,1982-07-25,Summer,18.5,14.3,23.3,1.7,,321.5,19.0,,,
,Hockenheim,1982-08-08,Summer,20.0,16.2,24.7,0.2,0.0,297.6,7.9,29.9,1016.0,219.8
,Spielberg,1982-08-15,Summer,21.4,14.4,28.7,6.6,0.0,,4.8,,,
07280,Dijon,1982-08-29,Summer,18.0,11.3,24.4,0.0,,,,,,
,Monza,1982-09-12,Autumn,19.6,15.6,19.0,1.6,,,7.0,,,
83746,Rio de Janeiro,1981-03-29,Autumn,23.6,,,,,,,,,
87582,Buenos Aires,1981-04-12,Autumn,20.1,18.0,25.0,0.0,,,,,,
,Imola,1981-05-03,Spring,10.1,6.7,12.2,6.9,90.0,197.0,9.0,,,
,Heusden-Zolder,1981-05-17,Spring,10.9,8.0,15.2,3.2,,,,,,
,Monte-Carlo,1981-05-31,Spring,20.3,,,0.0,,,,,,
08222,Madrid,1981-06-21,Summer,,17.8,31.4,0.0,,,,,,
07280,Dijon,1981-07-05,Summer,19.0,,,0.0,,,,,,
,Hockenheim,1981-08-02,Summer,16.9,13.2,22.2,4.6,0.0,188.4,7.8,34.4,1021.7,159.3
,Spielberg,1981-08-16,Summer,22.0,14.7,29.4,7.6,0.0,,6.8,,,
,Zandvoort,1981-08-30,Summer,14.9,10.3,19.4,0.0,0.0,29.0,8.5,,1018.8,474.0
,Monza,1981-09-13,Autumn,19.0,14.3,22.6,0.3,,,7.2,,,
,Montreal,1981-09-27,Autumn,11.6,7.0,15.7,1.3,0.0,234.0,14.1,,1023.3,
87582,Buenos Aires,1980-01-13,Summer,25.6,23.0,28.0,0.0,,,,,,
83780,São Paulo,1980-01-27,Summer,22.0,19.0,26.0,3.9,,,10.0,,,
,Midrand,1980-03-01,Spring,20.1,18.2,28.9,8.5,,,,,,
,Heusden-Zolder,1980-05-04,Spring,9.3,4.4,13.2,0.0,,,,,,
,Monte-Carlo,1980-05-18,Spring,13.9,11.0,17.0,0.0,,347.0,9.7,,,
,Le Castellet,1980-06-29,Summer,15.5,12.9,20.0,1.7,,,,,,
,Hockenheim,1980-08-10,Summer,16.3,11.4,21.3,0.0,0.0,264.6,8.3,27.0,1019.0,526.4
,Spielberg,1980-08-17,Summer,19.3,16.1,23.0,1.0,0.0,,,,,
,Zandvoort,1980-08-31,Summer,14.3,12.0,16.7,3.1,0.0,315.0,23.4,,1012.8,60.0
,Imola,1980-09-14,Autumn,18.6,13.1,21.8,0.3,,319.0,24.7,,,
,Montreal,1980-09-28,Autumn,13.4,7.9,17.9,0.9,0.0,157.0,21.1,,1000.4,
87582,Buenos Aires,1979-01-21,Summer,25.2,22.0,,0.0,,,,,,
83780,São Paulo,1979-02-04,Summer,20.6,,,0.0,,,,,,
,Midrand,1979-03-03,Spring,19.0,16.4,23.9,1.6,,,,,,
08222,Madrid,1979-04-29,Spring,,5.4,16.2,0.0,,,,,,
,Heusden-Zolder,1979-05-13,Spring,15.7,9.7,21.2,0.0,,,,,,
,Monte-Carlo,1979-05-27,Spring,17.6,15.0,20.0,0.5,,126.0,10.4,,,
07280,Dijon,1979-07-01,Summer,14.9,13.0,18.0,0.0,,6.0,15.8,,,
,Hockenheim,1979-07-29,Summer,20.2,16.0,25.7,10.3,0.0,194.2,10.5,47.9,1011.1,306.5
,Spielberg,1979-08-12,Summer,14.3,11.4,18.6,1.6,0.0,214.0,5.9,,,
,Zandvoort,1979-08-26,Summer,13.5,9.2,17.9,2.3,0.0,293.5,12.6,,1009.6,228.0
